,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,Icx3nX5LrSU4qXF747s2pw,el-capricho-san-antonio,El Capricho,https://s3-media1.fl.yelpcdn.com/bphoto/2MulK5yDjXPT7aIrIuQ79Q/o.jpg,False,https://www.yelp.com/biz/el-capricho-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,7,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 29.43403, 'longitude': -98.703811}",['delivery'],$$,"{'address1': '10718 Potranco Rd', 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78251', 'country': 'US', 'state': 'TX', 'display_address': ['10718 Potranco Rd', 'San Antonio, TX 78251']}",,,18769.932918839582
1,bADtKSdVngy1Y0ou-HcknQ,alta-mar-san-antonio-2,Alta Mar,https://s3-media2.fl.yelpcdn.com/bphoto/Z6EctyO6WsZH6QTodIe79w/o.jpg,False,https://www.yelp.com/biz/alta-mar-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,41,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 29.515330149143463, 'longitude': -98.69608396693579}",['delivery'],,"{'address1': '8027 W Loop 1604 N', 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78254', 'country': 'US', 'state': 'TX', 'display_address': ['8027 W Loop 1604 N', 'San Antonio, TX 78254']}",+12106004433,(210) 600-4433,17766.866776018524
2,wpGd4k931N6Ir8I2BUamYg,las-americas-latin-market-san-antonio-2,Las Americas Latin Market,https://s3-media3.fl.yelpcdn.com/bphoto/Y7EpKJwUlNG2X98BRDOSWg/o.jpg,False,https://www.yelp.com/biz/las-americas-latin-market-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,24,"[{'alias': 'grocery', 'title': 'Grocery'}]",4.5,"{'latitude': 29.49931, 'longitude': -98.49975}","['pickup', 'delivery']",$$,"{'address1': '6623 San Pedro Ave', 'address2': None, 'address3': None, 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['6623 San Pedro Ave', 'San Antonio, TX 78216']}",+12103402747,(210) 340-2747,2755.185319967457
3,ceXmsEAQKS-6ajQ6DCf5Tg,huisache-grill-new-braunfels,Huisache Grill,https://s3-media4.fl.yelpcdn.com/bphoto/BpXUWPQjANc6mXQEeUwfNQ/o.jpg,False,https://www.yelp.com/biz/huisache-grill-new-braunfels?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,667,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 29.7003496, 'longitude': -98.1260475}",['delivery'],$$,"{'address1': '303 W San Antonio St', 'address2': '', 'address3': '', 'city': 'New Braunfels', 'zip_code': '78130', 'country': 'US', 'state': 'TX', 'display_address': ['303 W San Antonio St', 'New Braunfels, TX 78130']}",+18306209001,(830) 620-9001,45083.646131717134
4,NraTgXyDpuvTV-rchOCnvg,galpao-gaucho-brazilian-steakhouse-san-antonio-3,Galpao Gaucho Brazilian Steakhouse,https://s3-media1.fl.yelpcdn.com/bphoto/I2FWUSqHLrf8t_vDffKnCg/o.jpg,False,https://www.yelp.com/biz/galpao-gaucho-brazilian-steakhouse-san-antonio-3?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,441,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'brazilian', 'title': 'Brazilian'}]",4.0,"{'latitude': 29.604859, 'longitude': -98.528442}","['restaurant_reservation', 'delivery']",$$$,"{'address1': '2318 N Loop 1604 W', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78248', 'country': 'US', 'state': 'TX', 'display_address': ['2318 N Loop 1604 W', 'San Antonio, TX 78248']}",+12104972500,(210) 497-2500,13969.024670965478
5,MdKSyauWpzc8lTQw1YO34A,makos-on-the-creek-cibolo-2,Mako's On The Creek,https://s3-media4.fl.yelpcdn.com/bphoto/MIGkFvW6n25d8AX19rlOsg/o.jpg,False,https://www.yelp.com/biz/makos-on-the-creek-cibolo-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,288,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,"{'latitude': 29.55771171238265, 'longitude': -98.24218784902384}","['pickup', 'delivery']",$$,"{'address1': '169 Buffalo Pl', 'address2': '', 'address3': None, 'city': 'Cibolo', 'zip_code': '78108', 'country': 'US', 'state': 'TX', 'display_address': ['169 Buffalo Pl', 'Cibolo, TX 78108']}",+18307305947,(830) 730-5947,27986.98296008433
6,a021vQ34E3Gy6b2ny4IVAA,little-ems-oyster-bar-san-antonio,Little Em's Oyster Bar,https://s3-media2.fl.yelpcdn.com/bphoto/jzf3wxOsqReFHrmXZf27WQ/o.jpg,False,https://www.yelp.com/biz/little-ems-oyster-bar-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,179,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 29.413893, 'longitude': -98.491134}",[],,"{'address1': '1001 S Alamo St', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78210', 'country': 'US', 'state': 'TX', 'display_address': ['1001 S Alamo St', 'San Antonio, TX 78210']}",+12102570100,(210) 257-0100,7730.063383571204
7,ZARwttmhQPj-OJpyzA4SEg,fredericks-restaurant-san-antonio,Frederick's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/eGp6UDdaQMf-8maTpnCWKw/o.jpg,False,https://www.yelp.com/biz/fredericks-restaurant-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,74,"[{'alias': 'french', 'title': 'French'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 29.49984, 'longitude': -98.4672}",['delivery'],$$$,"{'address1': '7701 Broadway St', 'address2': 'Ste 20', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['7701 Broadway St', 'Ste 20', 'San Antonio, TX 78209']}",+12108289050,(210) 828-9050,5332.939961339713
8,n4GGozaRnFHJMiOVYhH4bA,azuca-nuevo-latino-san-antonio-4,Azuca Nuevo Latino,https://s3-media3.fl.yelpcdn.com/bphoto/CMOhCdGr06OzDCKTiDWRDg/o.jpg,False,https://www.yelp.com/biz/azuca-nuevo-latino-san-antonio-4?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,461,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 29.41716, 'longitude': -98.48868}","['pickup', 'delivery']",$$,"{'address1': '709 S Alamo St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['709 S Alamo St', 'San Antonio, TX 78205']}",+12102255550,(210) 225-5550,7476.6380609134385
9,LouKCgR8Aev0CHHR86-IGQ,la-perla-del-pacifico-san-antonio,La Perla Del Pacifico,https://s3-media4.fl.yelpcdn.com/bphoto/uG8LXiU8TLbqJ6QbRvdm6w/o.jpg,False,https://www.yelp.com/biz/la-perla-del-pacifico-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,149,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'latin', 'title': 'Latin American'}]",4.0,"{'latitude': 29.4645318, 'longitude': -98.6444183}","['pickup', 'delivery']",$$,"{'address1': '7911 Culebra Rd', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78251', 'country': 'US', 'state': 'TX', 'display_address': ['7911 Culebra Rd', 'San Antonio, TX 78251']}",+12109737600,(210) 973-7600,12406.95563120616
10,QyNr-wEVfXaCmDiEa0fhXg,las-islas-marias-san-antonio-6,Las Islas Marias,https://s3-media2.fl.yelpcdn.com/bphoto/yzp5N8IoLYkZEz8fuYpuqA/o.jpg,False,https://www.yelp.com/biz/las-islas-marias-san-antonio-6?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,63,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 29.35637, 'longitude': -98.5}",['delivery'],$$,"{'address1': '522 SW Military', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78221', 'country': 'US', 'state': 'TX', 'display_address': ['522 SW Military', 'San Antonio, TX 78221']}",+12109227777,(210) 922-7777,13806.292710172791
11,pyW2FNsWqJtHeAU0SmiNOg,hotel-valencia-riverwalk-san-antonio,Hotel Valencia Riverwalk,https://s3-media4.fl.yelpcdn.com/bphoto/4-CQVDtOlZ--cu6tUqHCdQ/o.jpg,False,https://www.yelp.com/biz/hotel-valencia-riverwalk-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,514,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 29.4262737, 'longitude': -98.4915927}",[],$$,"{'address1': '150 E Houston St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['150 E Houston St', 'San Antonio, TX 78205']}",+12102279700,(210) 227-9700,6427.081842008504
12,CLbzZGsLKcUf4G269KEu_Q,rosarios-comidamex-and-bar-san-antonio-2,Rosario's ComidaMex & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/8A5t-qeY9ZRWf78aJjRaDA/o.jpg,False,https://www.yelp.com/biz/rosarios-comidamex-and-bar-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,3487,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 29.4152187894368, 'longitude': -98.4896401}","['pickup', 'delivery']",$$,"{'address1': ""722 S Saint Mary's St"", 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': [""722 S Saint Mary's St"", 'San Antonio, TX 78205']}",+12102231806,(210) 223-1806,7640.248745122203
13,bCMi8aq0OrtcYgfXkIOa_A,volare-italian-restaurant-san-antonio-2,Volare Italian Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/tQZ4hi6qC88rUL3W9_4y2g/o.jpg,False,https://www.yelp.com/biz/volare-italian-restaurant-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,127,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 29.4666929260622, 'longitude': -98.49160664344201}","['pickup', 'delivery']",$$,"{'address1': '3902 McCullough Ave', 'address2': '', 'address3': None, 'city': 'San Antonio', 'zip_code': '78216', 'country': 'US', 'state': 'TX', 'display_address': ['3902 McCullough Ave', 'San Antonio, TX 78216']}",+12102513424,(210) 251-3424,2860.1014634755566
14,hVXNM5FuVSaVLEqlQJE3vg,costa-pacifica-san-antonio,Costa Pacifica,https://s3-media1.fl.yelpcdn.com/bphoto/6NgU1Udz8uKnbmiPg2GI1A/o.jpg,False,https://www.yelp.com/biz/costa-pacifica-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,359,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 29.607445, 'longitude': -98.501328}","['pickup', 'delivery']",$$,"{'address1': '434 N Loop 1604 W', 'address2': 'Ste 2101', 'address3': '', 'city': 'San Antonio', 'zip_code': '78232', 'country': 'US', 'state': 'TX', 'display_address': ['434 N Loop 1604 W', 'Ste 2101', 'San Antonio, TX 78232']}",+12104914497,(210) 491-4497,14295.917741227073
15,1VDoVBHq1cFiW66diTMv5w,soluna-cocina-mexicana-san-antonio,Soluna Cocina Mexicana,https://s3-media1.fl.yelpcdn.com/bphoto/hMWUyavtf2nFemZsuIhaqQ/o.jpg,False,https://www.yelp.com/biz/soluna-cocina-mexicana-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,525,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 29.5066405659216, 'longitude': -98.4666745688306}","['pickup', 'delivery']",$$,"{'address1': '7959 Broadway St', 'address2': 'Ste 204', 'address3': '', 'city': 'San Antonio', 'zip_code': '78209', 'country': 'US', 'state': 'TX', 'display_address': ['7959 Broadway St', 'Ste 204', 'San Antonio, TX 78209']}",+12109308070,(210) 930-8070,5735.486617067855
16,S0KP7tiJabhzBp3_khe-AQ,cibo-tx-schertz,Cibo TX,https://s3-media1.fl.yelpcdn.com/bphoto/GZLKqhQjL2OomsIxu0KCjQ/o.jpg,False,https://www.yelp.com/biz/cibo-tx-schertz?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,17,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'southern', 'title': 'Southern'}]",4.0,"{'latitude': 29.5583929, 'longitude': -98.25336759999999}",[],$$,"{'address1': '1256 Fm 78', 'address2': 'Ste 113', 'address3': None, 'city': 'Schertz', 'zip_code': '78154', 'country': 'US', 'state': 'TX', 'display_address': ['1256 Fm 78', 'Ste 113', 'Schertz, TX 78154']}",+12104477007,(210) 447-7007,26985.105843097437
17,KFeaDD9g3EG9p9-KEoMgjQ,la-marginal-san-antonio-3,La Marginal,https://s3-media1.fl.yelpcdn.com/bphoto/ZKvHLU8RjzvflE33EeFRPA/o.jpg,False,https://www.yelp.com/biz/la-marginal-san-antonio-3?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,422,"[{'alias': 'puertorican', 'title': 'Puerto Rican'}]",4.0,"{'latitude': 29.5179063181584, 'longitude': -98.450984900629}","['pickup', 'delivery']",$$,"{'address1': '2447 Nacogdoches Rd', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78217', 'country': 'US', 'state': 'TX', 'display_address': ['2447 Nacogdoches Rd', 'San Antonio, TX 78217']}",+12108042242,(210) 804-2242,7689.724473331445
18,VnIuCqHc4fqN05Tvhq2ENQ,dorregos-san-antonio,Dorrego's,https://s3-media3.fl.yelpcdn.com/bphoto/IM9fUTRgYeQI9M-onsXymw/o.jpg,False,https://www.yelp.com/biz/dorregos-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,132,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'latin', 'title': 'Latin American'}]",4.0,"{'latitude': 29.42623, 'longitude': -98.4917399}",['delivery'],$$,"{'address1': '150 E Houston St', 'address2': None, 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['150 E Houston St', 'San Antonio, TX 78205']}",+12102308454,(210) 230-8454,6423.358236599232
19,G1TA_O4ImM47WJhVCrGBWg,ostra-san-antonio,Ostra,https://s3-media4.fl.yelpcdn.com/bphoto/d4le8T2gBpmmdaHsRiYA8A/o.jpg,False,https://www.yelp.com/biz/ostra-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,561,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.5,"{'latitude': 29.424701494480956, 'longitude': -98.49053939755974}",['delivery'],$$$,"{'address1': '212 W Crockett St', 'address2': '', 'address3': '', 'city': 'San Antonio', 'zip_code': '78205', 'country': 'US', 'state': 'TX', 'display_address': ['212 W Crockett St', 'San Antonio, TX 78205']}",+12103965817,(210) 396-5817,6627.754273214286
